surName,firstName,rank,nationality,
Sabalenka,Aryna,5,BELARUS,
Krejcikova,Barbora,2,CZECH REPUBLIC,
Swiatek,Iga,1,POLAND,
Pliskova,Karolina,7,CZECH REPUBLIC,
Badosa,Paula,3,SPAIN,
Muguruza,Garbiñe,9,SPAIN,
Sakkari,Maria,4,GREECE,
Kontaveit,Anett,6,ESTONIA,
Collins,Danielle,8,UNITED STATES,
Jabeur,Ons,10,TUNISIA,
Raducanu,Emma,12,GREAT BRITAIN,
Pavlyuchenkova,Anastasia,14,RUSSIA,
Svitolina,Elina,27,UKRAINE,
Pegula,Jessica,13,UNITED STATES,
Gauff,Coco,15,UNITED STATES,
Azarenka,Victoria,17,BELARUS,
Bencic,Belinda,21,SWITZERLAND,
Kerber,Angelique,16,GERMANY,
Fernandez,Leylah,19,CANADA,
Kasatkina,Daria,28,RUSSIA,
Halep,Simona,20,ROMANIA,
Kvitova,Petra,29,CZECH REPUBLIC,
Ostapenko,Jelena,11,LATVIA,
Mertens,Elise,25,BELGIUM,
Vondrousova,Marketa,22,CZECH REPUBLIC
Zidansek,Tamara,23,SLOVENIA,
Keys,Madison,24,UNITED STATES,
Kudermetova,Veronika,22,RUSSIA,
Giorgi,Camila,30,ITALY,
Teichmann,Jil,37,SWITZERLAND,
Cirstea,Sorana,26,ROMANIA,
Sorribes Tormo,Sara,49,SPAIN,
Tauson,Clara,38,DENMARK,
Samsonova,Liudmila,31,RUSSIA,
Golubic,Viktorija,40,SWITZERLAND,
Cornet,Alizé,34,FRANCE,
Rogers,Shelby,44,UNITED STATES,
Tomljanovic,Ajla,39,AUSTRALIA,
Anisimova,Amanda,47,UNITED STATES,
Andreescu,Bianca,121,CANADA
Putintseva,Yulia,46,KAZAKHSTAN,
Martincova,Tereza,50,CZECH REPUBLIC,
Alexandrova,Ekaterina,54,RUSSIA,
Siniakova,Katerina,45,CZECH REPUBLIC,
Linette,Magda,64,POLAND,
Kalinina,Anhelina,42,UKRAINE,
Paolini,Jasmine,48,ITALY,
Osorio,Camila,33,COLOMBIA,
Parrizas Diaz,Nuria,52,SPAIN,
Kostyuk,Marta,53,UKRAINE,
Riske,Alison,43,UNITED STATES,
Begu,Irina-Camelia,66,ROMANIA,
Stephens,Sloane,36,UNITED STATES,
Cristian,Jaqueline,71,ROMANIA,
Brengle,Madison,56,UNITED STATES,
Li,Ann,63,UNITED STATES,
Ruse,Elena-Gabriela,55,ROMANIA,
Martic,Petra,60,CROATIA,
Kanepi,Kaia,57,ESTONIA,
Rus,Arantxa,75,THE NETHERLANDS,
Sevastova,Anastasija,114,LATVIA,
Sherif,Mayar,61,REPUBLIC OF EGYPT,
Zhang,Shuai,41,CHINA,
Zanevska,Maryna,69,BELGIUM,
Garcia,Caroline,70,FRANCE,
Sasnovich,Aliaksandra,51,BELARUS,
Kovinic,Danka,65,MONTENEGRO,
Haddad Maia,Beatriz,59,BRAZIL,
Peterson,Rebecca,80,SWEDEN,
Potapova,Anastasia,121,RUSSIA,
Burel,Clara,79,FRANCE,
Kucova,Kristina,83,SLOVAK REPUBLIC,
Zheng,Qinwen,72,CHINA,
Gracheva,Varvara,74,RUSSIA,
Bondar,Anna,73,HUNGARY,
Osaka,Naomi,35,JAPAN,
Wang,Xinyu,88,CHINA,
Watson,Heather,105,GREAT BRITAIN,
Liu,Claire,89,UNITED STATES,
Sharma,Astra,92,AUSTRALIA,
Udvardy,Panna,84,HUNGARY,
Davis,Lauren,82,UNITED STATES,
Trevisan,Martina,86,ITALY,
Schmiedlova,Anna Karolina,91,SLOVAK REPUBLIC,
Kenin,Sofia,148,UNITED STATES,
Minnen,Greet,81,BELGIUM,
Bouzkova,Marie,77,CZECH REPUBLIC,
Mladenovic,Kristina,99,FRANCE,
Frech,Magdalena,87,POLAND,
Pera,Bernarda,101,UNITED STATES,
Bogdan,Ana,93,ROMANIA,
Juvan,Kaja,78,SLOVENIA,
Kalinskaya,Anna,76,RUSSIA,
Rakhimova,Kamilla,111,RUSSIA,
Tan,Harmony,90,FRANCE,
,Donna,109,CROATIA,
Tomova,Viktoriya,107,BULGARIA,
Brady,Jennifer,174,UNITED STATES,
Tsurenko,Lesia,130,UKRAINE,
Podoroska,Nadia,115,ARGENTINA,
Ferro,Fiona,132,FRANCE,
Zhu,Lin,106,CHINA,
Inglis,Maddison,123,AUSTRALIA,
Bronzetti,Lucia,85,ITALY,
Galfi,Dalma,97,HUNGARY,
Paquet,Chloe,104,FRANCE,
Wang,Xiyu,149,CHINA,
Bara,Irina,118,ROMANIA,
Buzarnescu,Mihaela,122,ROMANIA,
Wang,Qiang,96,CHINA,
Sanders,Storm,161,AUSTRALIA,
Gasanova,Anastasia,153,RUSSIA,
Zarazua,Renata,171,MEXICO,
Govortsova,Olga,175,BELARUS,
Dart,Harriet,100,GREAT BRITAIN,
