surName,firstName,rank,nationality,
Barty,Ashleigh,1,AUSTRALIA,
Sabalenka,Aryna,3,BELARUS,
Krejcikova,Barbora,2,CZECH REPUBLIC,
Swiatek,Iga,4,POLAND,
Pliskova,Karolina,8,CZECH REPUBLIC,
Badosa,Paula,7,SPAIN,
Muguruza,Garbiñe,9,SPAIN,
Sakkari,Maria,6,GREECE,
Kontaveit,Anett,5,ESTONIA,
Collins,Danielle,11,UNITED STATES,
Jabeur,Ons,10,TUNISIA,
Rybakina,Elena,20,KAZAKHSTAN,
Raducanu,Emma,13,GREAT BRITAIN,
Pavlyuchenkova,Anastasia,14,RUSSIA,
Svitolina,Elina,18,UKRAINE,
Pegula,Jessica,19,UNITED STATES,
Gauff,Cori,17,UNITED STATES,
Azarenka,Victoria,15,BELARUS,
Bencic,Belinda,25,SWITZERLAND,
Kerber,Angelique,16,GERMANY,
Fernandez,Leylah,21,CANADA,
Kasatkina,Daria,28,RUSSIA,
Halep,Simona,26,ROMANIA,
Kvitova,Petra,31,CZECH REPUBLIC,
Ostapenko,Jelena,12,LATVIA,
Mertens,Elise,23,BELGIUM,
Zidansek,Tamara,22,SLOVENIA,
Keys,Madison,29,UNITED STATES,
Kudermetova,Veronika,24,RUSSIA,
Giorgi,Camila,30,ITALY,
Teichmann,Jil,37,SWITZERLAND,
Cirstea,Sorana,27,ROMANIA,
Sorribes Tormo,Sara,36,SPAIN,
Tauson,Clara,40,DENMARK,
Samsonova,Liudmila,32,RUSSIA,
Golubic,Viktorija,51,SWITZERLAND,
Cornet,Alizé,34,FRANCE,
Rogers,Shelby,49,UNITED STATES,
Vondrousova,Marketa,33,CZECH REPUBLIC,
Tomljanovic,Ajla,39,AUSTRALIA,
Anisimova,Amanda,43,UNITED STATES,
Putintseva,Yulia,47,KAZAKHSTAN,
Martincova,Tereza,42,CZECH REPUBLIC,
Alexandrova,Ekaterina,52,RUSSIA,
Siniakova,Katerina,55,CZECH REPUBLIC,
Linette,Magda,62,POLAND,
Andreescu,Bianca,44,CANADA,
Kalinina,Anhelina,50,UKRAINE,
Paolini,Jasmine,46,ITALY,
Osorio,Camila,35,COLOMBIA,
Parrizas Diaz,Nuria,45,SPAIN,
Kostyuk,Marta,54,UKRAINE,
Van Uytvanck,Alison,58,BELGIUM,
Konjuh,Ana,48,CROATIA,
Riske,Alison,53,UNITED STATES,
Begu,Irina-Camelia,72,ROMANIA,
Stephens,Sloane,38,UNITED STATES,
Cristian,Jaqueline,65,ROMANIA,
Brengle,Madison,56,UNITED STATES,
Li,Ann,64,UNITED STATES,
Ruse,Elena-Gabriela,57,ROMANIA,
Martic,Petra,79,CROATIA,
Kanepi,Kaia,63,ESTONIA,
Rus,Arantxa,69,THE NETHERLANDS,
Sevastova,Anastasija,83,LATVIA,
Muchova,Karolina,73,CZECH REPUBLIC,
Petkovic,Andrea,60,GERMANY,
Sherif,Mayar,67,REPUBLIC OF EGYPT,
Zhang,Shuai,41,CHINA,
Zanevska,Maryna,68,BELGIUM,
Garcia,Caroline,66,FRANCE,
Doi,Misaki,95,JAPAN,
Sasnovich,Aliaksandra,59,BELARUS,
Kovinic,Danka,71,MONTENEGRO,
Haddad Maia,Beatriz,61,BRAZIL,
Peterson,Rebecca,76,SWEDEN,
Potapova,Anastasia,121,RUSSIA,
Burel,Clara,81,FRANCE,
Kucova,Kristina,77,SLOVAK REPUBLIC,
Zheng,Qinwen,74,CHINA,
Gracheva,Varvara,70,RUSSIA,
Zvonareva,Vera,114,RUSSIA,
Dodin,Oceane,94,FRANCE,
Bondar,Anna,75,HUNGARY,
Osaka,Naomi,78,JAPAN,
Wang,Xinyu,84,CHINA,
Watson,Heather,113,GREAT BRITAIN,
Liu,Claire,87,UNITED STATES,
Zheng,Saisai,128,CHINA,
Sharma,Astra,96,AUSTRALIA,
Udvardy,Panna,82,HUNGARY,
Davis,Lauren,92,UNITED STATES,
Trevisan,Martina,86,ITALY,
Schmiedlova,Anna Karolina,89,SLOVAK REPUBLIC,
Kenin,Sofia,130,UNITED STATES,
Minnen,Greet,80,BELGIUM,
Bouzkova,Marie,97,CZECH REPUBLIC,
Mladenovic,Kristina,99,FRANCE,
Frech,Magdalena,88,POLAND,
Pera,Bernarda,100,UNITED STATES,
Bogdan,Ana,93,ROMANIA,
Juvan,Kaja,85,SLOVENIA,
Kalinskaya,Anna,90,RUSSIA,
Rakhimova,Kamilla,112,RUSSIA,
Parry,Diane,98,FRANCE,
Tan,Harmony,91,FRANCE,
Kuznetsova,Svetlana,827,RUSSIA,
Vekic,Donna,107,CROATIA,
Tomova,Viktoriya,111,BULGARIA,
Brady,Jennifer,166,UNITED STATES,
Tsurenko,Lesia,141,UKRAINE,
Podoroska,Nadia,108,ARGENTINA,
Ferro,Fiona,132,FRANCE,
Zhu,Lin,125,CHINA,
Inglis,Maddison,124,AUSTRALIA,
Bronzetti,Lucia,101,ITALY,
Galfi,Dalma,105,HUNGARY,
Diyas,Zarina,110,KAZAKHSTAN,
Paquet,Chloe,106,FRANCE,
Niemeier,Jule,109,GERMANY,
Stojanovic,Nina,115,SERBIA,
Wang,Xiyu,150,CHINA,
Bara,Irina,116,ROMANIA,
Buzarnescu,Mihaela,117,ROMANIA,
Diatchenko,Vitalia,102,RUSSIA,
Wang,Qiang,104,CHINA,
Sanders,Storm,153,AUSTRALIA,
Krunic,Aleksandra,118,SERBIA,
Gasanova,Anastasia,155,RUSSIA,
Zarazua,Renata,142,MEXICO,
Govortsova,Olga,165,BELARUS,
Dart,Harriet,122,GREAT BRITAIN,
